date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:48:00	93764/93764	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Oct%202022%2001:47:58%20GMT	http://theme399v5.demov5.keyweb.vn/	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/index.html	(from )
08:48:00	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2012%20Oct%202022%2001:47:58%20GMT	http://theme399v5.demov5.keyweb.vn/robots.txt		(from )
08:48:02	32083/32083	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Oct%202022%2001:47:59%20GMT	http://theme399v5.demov5.keyweb.vn/xmlrpc.php	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/xmlrpc.php	(from http://theme399v5.demov5.keyweb.vn/)
08:48:02	117601/117601	---M--	200	added ('OK')	text/css	etag:%221cb61-5dfa9d8d09668%22	http://theme399v5.demov5.keyweb.vn/userdata/8421/wp-content/uploads/cache/fvm/1652370324/out/header-a21d3d99.min.css	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/userdata/8421/wp-content/uploads/cache/fvm/1652370324/out/header-a21d3d99.min.css	(from http://theme399v5.demov5.keyweb.vn/)
08:48:04	199366/199366	---M--	200	added ('OK')	text/css	etag:%2230ac6-5dfa9d9132960%22	http://theme399v5.demov5.keyweb.vn/userdata/8421/wp-content/uploads/cache/fvm/1652370324/out/header-6f2016e3.min.css	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/userdata/8421/wp-content/uploads/cache/fvm/1652370324/out/header-6f2016e3.min.css	(from http://theme399v5.demov5.keyweb.vn/)
08:48:04	19462/19462	---M--	200	added ('OK')	text/css	etag:%224c06-5e9e1923693c8%22	http://theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/library/media/smartslider.min.css?1634207519	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/library/media/smartslider.min2804.css	(from http://theme399v5.demov5.keyweb.vn/)
08:48:05	3495/3495	---M--	200	added ('OK')	application/javascript	etag:%22da7-5e9e1923979f8%22	http://theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/nextend/media/dist/n2.min.js?1634207519	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/nextend/media/dist/n2.min2804.js	(from http://theme399v5.demov5.keyweb.vn/)
08:48:18	76999/76999	---M--	200	added ('OK')	application/javascript	etag:%2212cc7-5e9e192395ab8%22	http://theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/nextend/media/dist/nextend-frontend.min.js?1634207519	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/nextend/media/dist/nextend-frontend.min2804.js	(from http://theme399v5.demov5.keyweb.vn/)
08:48:20	106931/106931	---M--	200	added ('OK')	application/javascript	etag:%221a1b3-5dfa9d8d07b10%22	http://theme399v5.demov5.keyweb.vn/userdata/8421/wp-content/uploads/cache/fvm/1652370324/out/header-84e60a2d.min.js	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/userdata/8421/wp-content/uploads/cache/fvm/1652370324/out/header-84e60a2d.min.js	(from http://theme399v5.demov5.keyweb.vn/)
08:48:21	18726/18726	---M--	200	added ('OK')	application/javascript	etag:%224926-5e9e19236a368%22	http://theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/library/media/plugins/type/simple/simple/dist/smartslider-simple-type-frontend.min.js?1634207519	C:/Users/admin/Desktop/examples/en_media/en_media/theme399v5.demov5.keyweb.vn/csvr-plugin/smart-slider-3/library/media/plugins/type/simple/simple/dist/smartslider-simple-type-frontend.min2804.js	(from http://theme399v5.demov5.keyweb.vn/)
